,Punto,Cluster,Latitud,Longitud
13555,2.2216E+16,1,6.171408,-75.56537114
13575,2.2216E+16,4,6.171408,-75.56537114
13695,2.2217E+16,1,6.17110816,-75.56626428
13739,2.2217E+16,4,6.17110816,-75.56626428
14597,2.2217E+16,1,6.17110816,-75.56626428
14642,2.2217E+16,1,6.17110816,-75.56626428
14686,2.2217E+16,4,6.17110816,-75.56626428
14796,2.2217E+16,1,6.17110816,-75.56626428
14820,2.2217E+16,4,6.17110816,-75.56626428
14856,2.2217E+16,4,6.17110816,-75.56626428
14896,2.2217E+16,1,6.17110816,-75.56626428
15536,2.2217E+16,1,6.17135287,-75.56632077
15576,2.2217E+16,4,6.17135287,-75.56632077
15916,2.2217E+16,1,6.17135287,-75.56632077
15928,2.2217E+16,4,6.17135287,-75.56632077
16036,2.2217E+16,1,6.17135287,-75.56632077
16059,2.2217E+16,4,6.17135287,-75.56632077
16795,2.2217E+16,1,6.17135287,-75.56632077
16835,2.2217E+16,4,6.17135287,-75.56632077
17415,2.2217E+16,1,6.17141039,-75.56641296
17418,2.2217E+16,4,6.17141039,-75.56641296
17502,2.2217E+16,1,6.17141039,-75.56641296
18888,2.2217E+16,1,6.17141039,-75.56641296
18912,2.2217E+16,4,6.17141039,-75.56641296
18928,2.2217E+16,1,6.17141039,-75.56641296
19168,2.2217E+16,4,6.172737,-75.56864
19183,2.2217E+16,1,6.172737,-75.56864
19363,2.2217E+16,4,6.172737,-75.568641
19364,2.2217E+16,4,6.172737,-75.56864
19483,2.2217E+16,4,6.172737,-75.56864
19533,2.2217E+16,4,6.172737,-75.56864
19549,2.2217E+16,1,6.172737,-75.56864
19561,2.2217E+16,4,6.172737,-75.56864
20036,2.2217E+16,1,6.172737,-75.56864
20207,2.2217E+16,4,6.172737,-75.56864
20231,2.2217E+16,4,6.172737,-75.56864
20243,2.2217E+16,1,6.172737,-75.56864
20262,2.2217E+16,4,6.172737,-75.56864
20718,2.2217E+16,1,6.172737,-75.56864
20725,2.2217E+16,4,6.172737,-75.56864
20749,2.2217E+16,1,6.172737,-75.56864
20785,2.2217E+16,4,6.172737,-75.56864
21051,2.2217E+16,1,6.172737,-75.56864
21089,2.2217E+16,4,6.172737,-75.56864
21092,2.2217E+16,4,6.172737,-75.568641
21101,2.2217E+16,4,6.172737,-75.56864
21113,2.2217E+16,1,6.172737,-75.56864
21161,2.2217E+16,4,6.172737,-75.56864
21197,2.2217E+16,4,6.172737,-75.56864
21210,2.2217E+16,4,6.172737,-75.56864
21218,2.2217E+16,4,6.172737,-75.56864
21235,2.2217E+16,1,6.172737,-75.56864
21473,2.2217E+16,4,6.17267335,-75.56853587
21487,2.2217E+16,1,6.17267335,-75.56853587
21585,2.2217E+16,4,6.17267335,-75.56853587
21593,2.2217E+16,1,6.17267335,-75.56853587
21665,2.2217E+16,4,6.1747075,-75.56700952
21791,2.2217E+16,1,6.1747075,-75.56700952
21875,2.2217E+16,4,6.1747075,-75.56700952
21935,2.2217E+16,4,6.1747075,-75.56700952
21947,2.2217E+16,1,6.1747075,-75.56700952
22043,2.2217E+16,4,6.1747075,-75.56700952
22243,2.2217E+16,4,6.1747075,-75.56700952
22251,2.2217E+16,4,6.1747075,-75.56700952
22259,2.2217E+16,4,6.1747075,-75.56700952
22280,2.2217E+16,1,6.1747075,-75.56700952
23456,2.2217E+16,4,6.1747075,-75.56700952
23476,2.2217E+16,1,6.1747075,-75.56700952
23836,2.2217E+16,4,6.1747075,-75.56700952
23848,2.2217E+16,4,6.1747075,-75.56700952
24208,2.2217E+16,4,6.1747075,-75.56700952
24248,2.2217E+16,1,6.1747075,-75.56700952
24468,2.2217E+16,4,6.1747075,-75.56700952
24492,2.2217E+16,4,6.1747075,-75.56700952
24632,2.2217E+16,1,6.1747075,-75.56700952
24652,2.2217E+16,4,6.1747075,-75.56700952
25452,2.2217E+16,4,6.1747075,-75.56700952
25460,2.2217E+16,4,6.1747075,-75.56700952
25484,2.2217E+16,1,6.1747075,-75.56700952
25501,2.2217E+16,4,6.1747075,-75.56700952
25519,2.2217E+16,4,6.1747075,-75.56700952
25543,2.2217E+16,4,6.17309112,-75.56898016
25547,2.2217E+16,4,6.17313147,-75.5690155
25885,2.2217E+16,4,6.17313147,-75.5690155
25903,2.2217E+16,4,6.17309112,-75.56898016
25904,2.2217E+16,4,6.17313147,-75.5690155
25922,2.2217E+16,1,6.17309112,-75.56898016
25923,2.2217E+16,1,6.17313147,-75.5690155
26359,2.2217E+16,4,6.17313147,-75.5690155
26360,2.2217E+16,4,6.17309112,-75.56898016
26546,2.2217E+16,1,6.17313147,-75.5690155
26547,2.2217E+16,1,6.17309112,-75.56898016
26869,2.2217E+16,4,6.17397465,-75.57020268
26887,2.2217E+16,1,6.17397465,-75.57020268
27571,2.2217E+16,4,6.17397465,-75.57020268
28751,2.2217E+16,4,6.17397465,-75.57020268
28817,2.2217E+16,1,6.17397465,-75.57020268
29279,2.2217E+16,4,6.17397465,-75.57020268
29335,2.2217E+16,4,6.17397465,-75.57020268
29491,2.2217E+16,1,6.17397465,-75.57020268
29517,2.2217E+16,4,6.17397465,-75.57020268
29553,2.2217E+16,4,6.17397465,-75.57020268
29679,2.2217E+16,1,6.17397465,-75.57020268
30183,2.2217E+16,4,6.17397465,-75.57020268
30197,2.2217E+16,1,6.17397465,-75.57020268
30225,2.2217E+16,1,6.17397465,-75.57020268
30238,2.2217E+16,4,6.17397465,-75.57020268
